task,size_label,seed,penalty_scale,any_feasible_ground_state,all_ground_states_feasible,feasible_objective,penalized_ground_energy
placement,6,0,0.1,True,True,1.1818622122001132,1.1818622122001132
placement,6,0,0.25,True,True,1.1818622122001132,1.1818622122001132
placement,6,0,0.5,True,True,1.1818622122001132,1.1818622122001132
placement,6,0,1.0,True,True,1.1818622122001132,1.1818622122001132
placement,6,0,2.0,True,True,1.1818622122001132,1.1818622122001132
placement,6,0,4.0,True,True,1.1818622122001132,1.1818622122001132
placement,6,1,0.1,True,True,0.9097056080047319,0.9097056080047319
placement,6,1,0.25,True,True,0.9097056080047319,0.9097056080047319
placement,6,1,0.5,True,True,0.9097056080047319,0.9097056080047319
placement,6,1,1.0,True,True,0.9097056080047319,0.9097056080047319
placement,6,1,2.0,True,True,0.9097056080047319,0.9097056080047319
placement,6,1,4.0,True,True,0.9097056080047319,0.9097056080047319
placement,6,2,0.1,True,True,0.8485033594844218,0.8485033594844218
placement,6,2,0.25,True,True,0.8485033594844218,0.8485033594844218
placement,6,2,0.5,True,True,0.8485033594844218,0.8485033594844218
placement,6,2,1.0,True,True,0.8485033594844218,0.8485033594844218
placement,6,2,2.0,True,True,0.8485033594844218,0.8485033594844218
placement,6,2,4.0,True,True,0.8485033594844218,0.8485033594844218
placement,6,3,0.1,True,True,1.1799209979456753,1.1799209979456753
placement,6,3,0.25,True,True,1.1799209979456753,1.1799209979456753
placement,6,3,0.5,True,True,1.1799209979456753,1.1799209979456753
placement,6,3,1.0,True,True,1.1799209979456753,1.1799209979456753
placement,6,3,2.0,True,True,1.1799209979456753,1.1799209979456753
placement,6,3,4.0,True,True,1.1799209979456753,1.1799209979456753
placement,6,4,0.1,True,True,1.3444906723064454,1.3444906723064454
placement,6,4,0.25,True,True,1.3444906723064454,1.3444906723064454
placement,6,4,0.5,True,True,1.3444906723064454,1.3444906723064454
placement,6,4,1.0,True,True,1.3444906723064454,1.3444906723064454
placement,6,4,2.0,True,True,1.3444906723064454,1.3444906723064454
placement,6,4,4.0,True,True,1.3444906723064454,1.3444906723064454
placement,6,5,0.1,True,True,2.1800632460358647,2.1800632460358647
placement,6,5,0.25,True,True,2.1800632460358647,2.1800632460358647
placement,6,5,0.5,True,True,2.1800632460358647,2.1800632460358647
placement,6,5,1.0,True,True,2.1800632460358647,2.1800632460358647
placement,6,5,2.0,True,True,2.1800632460358647,2.1800632460358647
placement,6,5,4.0,True,True,2.1800632460358647,2.1800632460358647
placement,6,6,0.1,True,True,1.5619595269294149,1.5619595269294149
placement,6,6,0.25,True,True,1.5619595269294149,1.5619595269294149
placement,6,6,0.5,True,True,1.5619595269294149,1.5619595269294149
placement,6,6,1.0,True,True,1.5619595269294149,1.5619595269294149
placement,6,6,2.0,True,True,1.5619595269294149,1.5619595269294149
placement,6,6,4.0,True,True,1.5619595269294149,1.5619595269294149
placement,6,7,0.1,True,True,1.7225326477862517,1.7225326477862517
placement,6,7,0.25,True,True,1.7225326477862517,1.7225326477862517
placement,6,7,0.5,True,True,1.7225326477862517,1.7225326477862517
placement,6,7,1.0,True,True,1.7225326477862517,1.7225326477862517
placement,6,7,2.0,True,True,1.7225326477862517,1.7225326477862517
placement,6,7,4.0,True,True,1.7225326477862517,1.7225326477862517
placement,6,8,0.1,True,True,1.3552020546619976,1.3552020546619976
placement,6,8,0.25,True,True,1.3552020546619976,1.3552020546619976
placement,6,8,0.5,True,True,1.3552020546619976,1.3552020546619976
placement,6,8,1.0,True,True,1.3552020546619976,1.3552020546619976
placement,6,8,2.0,True,True,1.3552020546619976,1.3552020546619976
placement,6,8,4.0,True,True,1.3552020546619976,1.3552020546619976
placement,6,9,0.1,False,False,1.8691217119778392,1.7246914964411266
placement,6,9,0.25,True,True,1.8691217119778392,1.8691217119778392
placement,6,9,0.5,True,True,1.8691217119778392,1.8691217119778392
placement,6,9,1.0,True,True,1.8691217119778392,1.8691217119778392
placement,6,9,2.0,True,True,1.8691217119778392,1.8691217119778392
placement,6,9,4.0,True,True,1.8691217119778392,1.8691217119778392
placement,8,0,0.1,True,True,1.2416804724726656,1.2416804724726656
placement,8,0,0.25,True,True,1.2416804724726656,1.2416804724726656
placement,8,0,0.5,True,True,1.2416804724726656,1.2416804724726656
placement,8,0,1.0,True,True,1.2416804724726656,1.2416804724726656
placement,8,0,2.0,True,True,1.2416804724726656,1.2416804724726656
placement,8,0,4.0,True,True,1.2416804724726656,1.2416804724726656
placement,8,1,0.1,False,False,1.7785185051231522,1.7369794810102914
placement,8,1,0.25,True,True,1.7785185051231522,1.7785185051231522
placement,8,1,0.5,True,True,1.7785185051231522,1.7785185051231522
placement,8,1,1.0,True,True,1.7785185051231522,1.7785185051231522
placement,8,1,2.0,True,True,1.7785185051231522,1.7785185051231522
placement,8,1,4.0,True,True,1.7785185051231522,1.7785185051231522
placement,8,2,0.1,True,True,0.8989638402529665,0.8989638402529665
placement,8,2,0.25,True,True,0.8989638402529665,0.8989638402529665
placement,8,2,0.5,True,True,0.8989638402529665,0.8989638402529665
placement,8,2,1.0,True,True,0.8989638402529665,0.8989638402529665
placement,8,2,2.0,True,True,0.8989638402529665,0.8989638402529665
placement,8,2,4.0,True,True,0.8989638402529665,0.8989638402529665
placement,8,3,0.1,True,True,1.0033898523385925,1.0033898523385925
placement,8,3,0.25,True,True,1.0033898523385925,1.0033898523385925
placement,8,3,0.5,True,True,1.0033898523385925,1.0033898523385925
placement,8,3,1.0,True,True,1.0033898523385925,1.0033898523385925
placement,8,3,2.0,True,True,1.0033898523385925,1.0033898523385925
placement,8,3,4.0,True,True,1.0033898523385925,1.0033898523385925
placement,8,4,0.1,True,True,1.5873771841242477,1.5873771841242477
placement,8,4,0.25,True,True,1.5873771841242477,1.5873771841242477
placement,8,4,0.5,True,True,1.5873771841242477,1.5873771841242477
placement,8,4,1.0,True,True,1.5873771841242477,1.5873771841242477
placement,8,4,2.0,True,True,1.5873771841242477,1.5873771841242477
placement,8,4,4.0,True,True,1.5873771841242477,1.5873771841242477
placement,8,5,0.1,False,False,1.7417029357182396,1.7188151202015636
placement,8,5,0.25,True,True,1.7417029357182396,1.7417029357182396
placement,8,5,0.5,True,True,1.7417029357182396,1.7417029357182396
placement,8,5,1.0,True,True,1.7417029357182396,1.7417029357182396
placement,8,5,2.0,True,True,1.7417029357182396,1.7417029357182396
placement,8,5,4.0,True,True,1.7417029357182396,1.7417029357182396
placement,8,6,0.1,True,True,1.4952036906317896,1.4952036906317896
placement,8,6,0.25,True,True,1.4952036906317896,1.4952036906317896
placement,8,6,0.5,True,True,1.4952036906317896,1.4952036906317896
placement,8,6,1.0,True,True,1.4952036906317896,1.4952036906317896
placement,8,6,2.0,True,True,1.4952036906317896,1.4952036906317896
placement,8,6,4.0,True,True,1.4952036906317896,1.4952036906317896
placement,8,7,0.1,True,True,1.1798158326905188,1.1798158326905188
placement,8,7,0.25,True,True,1.1798158326905188,1.1798158326905188
placement,8,7,0.5,True,True,1.1798158326905188,1.1798158326905188
placement,8,7,1.0,True,True,1.1798158326905188,1.1798158326905188
placement,8,7,2.0,True,True,1.1798158326905188,1.1798158326905188
placement,8,7,4.0,True,True,1.1798158326905188,1.1798158326905188
placement,8,8,0.1,False,False,1.8697318382918118,1.7284350500760415
