task,size_label,n_vars,seed,algorithm,optimum,cost,optimal,sample_feasible,feasible_mass,optimum_mass,hit_probability_1024,expected_norm_cost,optimizer_s,evals,logical_xy_pairs
placement,6,6,0,standard_x,1.1818622122001132,1.1818622122001132,True,True,0.521257537687932,0.06052726708287689,1.0,0.0839372386228873,0.0023004579124972224,93,0
placement,6,6,0,onehot_xy,1.1818622122001132,1.1818622122001132,True,True,1.0000000000000002,0.013687513274942222,0.9999992571859965,0.0016531400151935573,0.0064175830921158195,131,6
placement,6,6,1,standard_x,0.9097056080047319,0.9097056080047319,True,True,0.4677201915816427,0.061890569459770686,1.0,0.0842809775411956,0.0021832090569660068,95,0
placement,6,6,1,onehot_xy,0.9097056080047319,0.9097056080047319,True,True,0.9941088430898491,0.8267721603118457,1.0,0.004070907072646811,0.0037357500987127423,75,6
placement,6,6,2,standard_x,0.8485033594844218,0.8485033594844218,True,True,0.33409379081856677,0.054929617270354815,1.0,0.07914922340339604,0.0021863749716430902,96,0
placement,6,6,2,onehot_xy,0.8485033594844218,0.8485033594844218,True,True,0.9939138731029715,0.8267453439430456,1.0,0.004211157666497134,0.0034973749425262213,73,6
placement,6,6,3,standard_x,1.1799209979456753,1.1799209979456753,True,True,0.5211110042186399,0.060375745615351674,1.0,0.08219447243477551,0.00207008293364197,94,0
placement,6,6,3,onehot_xy,1.1799209979456753,1.1799209979456753,True,True,1.0,0.8260451892387454,1.0,0.0022839830464967178,0.006572624901309609,128,6
placement,6,6,4,standard_x,1.3444906723064454,1.3444906723064454,True,True,0.33734209358593287,0.058315529254644054,1.0,0.060794097472138174,0.002340999897569418,97,0
placement,6,6,4,onehot_xy,1.3444906723064454,1.3444906723064454,True,True,0.9975945341487084,0.8224644362988588,1.0,0.001798848349644141,0.004755208967253566,90,6
placement,6,6,5,standard_x,2.1800632460358647,2.1800632460358647,True,True,0.41884910908977313,0.06174203236888035,1.0,0.07835601636402151,0.002105084015056491,94,0
placement,6,6,5,onehot_xy,2.1800632460358647,2.1800632460358647,True,True,0.9976195760513873,0.8183247309816672,1.0,0.0019603997115418825,0.005155541002750397,103,6
placement,6,6,6,standard_x,1.5619595269294149,1.5619595269294149,True,True,0.5215345577602544,0.06056395065510232,1.0,0.08248589307197941,0.002235333900898695,94,0
placement,6,6,6,onehot_xy,1.5619595269294149,1.5619595269294149,True,True,1.0,0.013133506907307585,0.99999867990439,0.00431004552230557,0.006590000004507601,128,6
placement,6,6,7,standard_x,1.7225326477862517,1.7225326477862517,True,True,0.4693333330162554,0.060600726801330156,1.0,0.07986227342123228,0.002308957977220416,97,0
placement,6,6,7,onehot_xy,1.7225326477862517,1.7225326477862517,True,True,0.9941117560739978,0.8268071328752362,1.0,0.002385404815953931,0.0064334169728681445,131,6
placement,6,6,8,standard_x,1.3552020546619976,1.3552020546619976,True,True,0.46759644298407,0.061465602531105445,1.0,0.08282883607784122,0.0020665000192821026,92,0
placement,6,6,8,onehot_xy,1.3552020546619976,1.3552020546619976,True,True,0.9941088557581481,0.00019544020384079034,0.18139231589403249,0.005526144229241546,0.006511292071081698,75,6
placement,6,6,9,standard_x,1.8691217119778392,1.8691217119778392,True,True,0.3337383509534511,0.0532021802977206,1.0,0.07421552385543526,0.003587000072002411,95,0
placement,6,6,9,onehot_xy,1.8691217119778392,1.8691217119778392,True,True,0.9994949361056295,0.8499625830964529,1.0,0.0007477202784887892,0.007880917051807046,104,6
placement,8,8,0,standard_x,1.2416804724726656,1.2416804724726656,True,True,0.3784040952207845,0.024461137046823324,0.9999999999903073,0.052573980660481766,0.004680000012740493,102,0
placement,8,8,0,onehot_xy,1.2416804724726656,1.2416804724726656,True,True,1.0000000000000002,0.27496576595826255,1.0,0.0025655326120747894,0.012433500029146671,125,8
placement,8,8,1,standard_x,1.7785185051231522,1.7785185051231522,True,True,0.35310976644453795,0.02671809785416882,0.9999999999990956,0.04992095325519275,0.0038912500021979213,108,0
placement,8,8,1,onehot_xy,1.7785185051231522,1.7785185051231522,True,True,0.9945609405687035,0.21264848378502405,1.0,0.0040031536848446295,0.005350083927623928,73,8
placement,8,8,2,standard_x,0.8989638402529665,0.8989638402529665,True,True,0.2991452946094812,0.02712694394838803,0.9999999999994118,0.050872370968793386,0.003772708005271852,99,0
placement,8,8,2,onehot_xy,0.8989638402529665,0.8989638402529665,True,True,0.872611988565268,0.1786542735351963,1.0,0.010687723467645991,0.009091124986298382,118,8
placement,8,8,3,standard_x,1.0033898523385925,1.0033898523385925,True,True,0.3812800965013533,0.024983309160065206,0.999999999994398,0.05278317427451302,0.003566750092431903,105,0
placement,8,8,3,onehot_xy,1.0033898523385925,1.0033898523385925,True,True,1.0000000000000002,0.20438929415278181,1.0,0.002874416855759141,0.009423958021216094,131,8
placement,8,8,4,standard_x,1.5873771841242477,1.5873771841242477,True,True,0.2941799907879299,0.02792171996165843,0.9999999999997453,0.043443853816066726,0.0036240000044927,108,0
placement,8,8,4,onehot_xy,1.5873771841242477,1.5873771841242477,True,True,0.8651478598899868,0.13357115313947002,1.0,0.01721762291084705,0.007440583081915975,103,8
placement,8,8,5,standard_x,1.7417029357182396,1.7417029357182396,True,True,0.3522038770092712,0.02644705967862611,0.9999999999987972,0.049813287609662776,0.0035052080638706684,106,0
placement,8,8,5,onehot_xy,1.7417029357182396,1.7417029357182396,True,True,0.90159727224981,0.05037644577049403,1.0,0.007850321373980588,0.008939499966800213,125,8
placement,8,8,6,standard_x,1.4952036906317896,1.4952036906317896,True,True,0.38174098189952343,0.024931712781619493,0.9999999999940861,0.05270845412699823,0.003740207990631461,110,0
