experiment,task,size_label,n_vars,seed,algorithm,profile,solution,cost,optimum,feasible,runtime_s,evals,deadline_s,volatility,success_prob,delay_s,gap,staleness_loss,deadline_miss,utility,timing_evidence
hardness,channel,14,14,30000,exact,local,747,6.845625193876185,6.845625193876185,True,2.5000073947012424e-05,16384,0.08030816529979057,0.03850663391700152,,2.5000073947012424e-05,0.0,9.626686953755748e-07,False,-9.626686953755748e-07,measured_local
hardness,channel,14,14,30000,local_search,local,747,6.845625193876185,6.845625193876185,True,0.00021775008644908667,1750,0.08030816529979057,0.03850663391700152,,0.00021775008644908667,0.0,8.384822864290413e-06,False,-8.384822864290413e-06,measured_local
hardness,channel,14,14,30000,annealing,local,7452,7.073796242855981,6.845625193876185,True,0.0012968339724466205,960,0.08030816529979057,0.03850663391700152,,0.0012968339724466205,0.029082583394105067,4.9936711028132853e-05,False,-0.0291325201051332,measured_local
hardness,channel,14,14,30000,mean_field,local,747,6.845625193876185,6.845625193876185,True,0.027752083027735353,106,0.08030816529979057,0.03850663391700152,,0.027752083027735353,0.0,0.0010686393015832364,False,-0.0010686393015832364,measured_local
hardness,channel,14,14,30000,qaoa,optimistic,15636,6.845625193876185,6.845625193876185,True,0.08420754200778902,124,0.08030816529979057,0.03850663391700152,0.002886345246697914,1.5897600000000003,0.0,0.06121630633589235,True,-2.061216306335892,modeled_qpu
hardness,channel,14,14,30000,qaoa,nominal,15636,6.845625193876185,6.845625193876185,True,0.08420754200778902,124,0.08030816529979057,0.03850663391700152,0.002886345246697914,9.9488,0.0,0.38309479951346476,True,-2.3830947995134646,modeled_qpu
hardness,channel,14,14,30000,qaoa,stressed,15636,6.845625193876185,6.845625193876185,True,0.08420754200778902,124,0.08030816529979057,0.03850663391700152,0.002886345246697914,45.275200000000005,0.0,1.7433955519190274,True,-3.7433955519190274,modeled_qpu
hardness,channel,14,14,30001,exact,local,6295,3.5960360042721056,3.5960360042721056,True,2.037500962615013e-05,16384,0.1301072317032642,0.07127237100167937,,2.037500962615013e-05,0.0,1.4521752452377606e-06,False,-1.4521752452377606e-06,measured_local
hardness,channel,14,14,30001,local_search,local,6295,3.5960360042721056,3.5960360042721056,True,0.00020054099150002003,1764,0.1301072317032642,0.07127237100167937,,0.00020054099150002003,0.0,1.4293031947234055e-05,False,-1.4293031947234055e-05,measured_local
hardness,channel,14,14,30001,annealing,local,14487,3.6827484504286185,3.5960360042721056,True,0.0011402919190004468,960,0.1301072317032642,0.07127237100167937,,0.0011402919190004468,0.01886679000684765,8.127130870121676e-05,False,-0.018948061315548867,measured_local
hardness,channel,14,14,30001,mean_field,local,10088,3.5960360042721056,3.5960360042721056,True,0.02855370892211795,106,0.1301072317032642,0.07127237100167937,,0.02855370892211795,0.0,0.0020350905357711525,False,-0.0020350905357711525,measured_local
