task,size_label,n_vars,seed,algorithm,profile,cost,optimum,feasible,runtime_s,evals,deadline_s,volatility,delay_s,gap,staleness_loss,deadline_miss,utility,timing_evidence,shots,success_prob,gamma,beta,expected_norm_cost
channel,6,6,0,exact,local,1.9464826652816702,1.9464826652816702,True,7.750000804662704e-06,64,0.47956572216083176,0.04082640083010488,7.750000804662704e-06,0.0,3.164046392847949e-07,False,-3.164046392847949e-07,measured_local,,,,,
channel,6,6,0,local_search,local,1.9464826652816702,1.9464826652816702,True,0.0001141249667853117,372,0.47956572216083176,0.04082640083010488,0.0001141249667853117,0.0,4.659311638699541e-06,False,-4.659311638699541e-06,measured_local,,,,,
channel,6,6,0,annealing,local,1.9464826652816702,1.9464826652816702,True,0.0011637919815257192,960,0.47956572216083176,0.04082640083010488,0.0011637919815257192,0.0,4.751343792063102e-05,False,-4.751343792063102e-05,measured_local,,,,,
channel,6,6,0,random,local,1.9464826652816702,1.9464826652816702,True,1.4625024050474167e-05,256,0.47956572216083176,0.04082640083010488,1.4625024050474167e-05,0.0,5.970870940345824e-07,False,-5.970870940345824e-07,measured_local,,,,,
channel,6,6,0,qaoa,optimistic,1.9464826652816702,1.9464826652816702,True,0.0026071249740198255,107,0.47956572216083176,0.04082640083010488,1.37318,0.0,0.05606199709188342,True,-2.0560619970918834,modeled_qpu,1024.0,0.08072715048382634,2.9581390359779283,1.267976721405291,0.151514020444223
channel,6,6,0,qaoa,nominal,1.9464826652816702,1.9464826652816702,True,0.0026071249740198255,107,0.47956572216083176,0.04082640083010488,8.6534,0.0,0.35328717694322953,True,-2.3532871769432298,modeled_qpu,1024.0,0.08072715048382634,2.9581390359779283,1.267976721405291,0.151514020444223
channel,6,6,0,qaoa,stressed,1.9464826652816702,1.9464826652816702,True,0.0026071249740198255,107,0.47956572216083176,0.04082640083010488,39.753600000000006,0.0,1.6229964080396575,True,-3.6229964080396577,modeled_qpu,1024.0,0.08072715048382634,2.9581390359779283,1.267976721405291,0.151514020444223
channel,6,6,0,mean_field,local,1.9464826652816702,1.9464826652816702,True,0.002530583064071834,116,0.47956572216083176,0.04082640083010488,0.002530583064071834,0.0,0.00010331459850767168,False,-0.00010331459850767168,measured_local,,,,,
channel,6,6,1,exact,local,3.7552144525142617,3.7552144525142617,True,4.458939656615257e-06,64,0.2402226081254468,0.07263011035373215,4.458939656615257e-06,0.0,3.238532793205987e-07,False,-3.238532793205987e-07,measured_local,,,,,
channel,6,6,1,local_search,local,3.7552144525142617,3.7552144525142617,True,8.066603913903236e-05,300,0.2402226081254468,0.07263011035373215,8.066603913903236e-05,0.0,5.858783324466397e-06,False,-5.858783324466397e-06,measured_local,,,,,
channel,6,6,1,annealing,local,3.7552144525142617,3.7552144525142617,True,0.0011123340809717774,960,0.2402226081254468,0.07263011035373215,0.0011123340809717774,0.0,8.078894705119743e-05,False,-8.078894705119743e-05,measured_local,,,,,
channel,6,6,1,random,local,3.7552144525142617,3.7552144525142617,True,1.0582967661321163e-05,256,0.2402226081254468,0.07263011035373215,1.0582967661321163e-05,0.0,7.686421091117348e-07,False,-7.686421091117348e-07,measured_local,,,,,
channel,6,6,1,qaoa,optimistic,3.7552144525142617,3.7552144525142617,True,0.002503874944522977,108,0.2402226081254468,0.07263011035373215,1.3859200000000003,0.0,0.10065952254144449,True,-2.1006595225414446,modeled_qpu,1024.0,0.12055422018182138,3.8411268995415666,1.2692066603042274,0.14552765246076055
channel,6,6,1,qaoa,nominal,3.7552144525142617,3.7552144525142617,True,0.002503874944522977,108,0.2402226081254468,0.07263011035373215,8.7296,0.0,0.6340318113439402,True,-2.6340318113439403,modeled_qpu,1024.0,0.12055422018182138,3.8411268995415666,1.2692066603042274,0.14552765246076055
channel,6,6,1,qaoa,stressed,3.7552144525142617,3.7552144525142617,True,0.002503874944522977,108,0.2402226081254468,0.07263011035373215,40.0784,0.0,2.910898614801019,True,-4.9108986148010185,modeled_qpu,1024.0,0.12055422018182138,3.8411268995415666,1.2692066603042274,0.14552765246076055
channel,6,6,1,mean_field,local,4.326195927798301,3.7552144525142617,True,0.002371374983340502,104,0.2402226081254468,0.07263011035373215,0.002371374983340502,0.1200748107127197,0.0001722332267301004,False,-0.12024704393944981,measured_local,,,,,
channel,6,6,2,exact,local,0.8243350865285217,0.8243350865285217,True,4.500034265220165e-06,64,0.3085099240473346,0.0625277616054293,4.500034265220165e-06,0.0,2.8137706975194974e-07,False,-2.8137706975194974e-07,measured_local,,,,,
channel,6,6,2,local_search,local,0.8243350865285217,0.8243350865285217,True,0.00010029191616922617,426,0.3085099240473346,0.0625277616054293,0.00010029191616922617,0.0,6.271029025181075e-06,False,-6.271029025181075e-06,measured_local,,,,,
channel,6,6,2,annealing,local,0.8243350865285217,0.8243350865285217,True,0.0010924999369308352,960,0.3085099240473346,0.0625277616054293,0.0010924999369308352,0.0,6.831157561035782e-05,False,-6.831157561035782e-05,measured_local,,,,,
channel,6,6,2,random,local,0.8243350865285217,0.8243350865285217,True,8.29098280519247e-06,256,0.3085099240473346,0.0625277616054293,8.29098280519247e-06,0.0,5.184165963177883e-07,False,-5.184165963177883e-07,measured_local,,,,,
channel,6,6,2,qaoa,optimistic,0.8243350865285217,0.8243350865285217,True,0.0024091670056805015,104,0.3085099240473346,0.0625277616054293,1.3349600000000001,0.0,0.08347206063278391,True,-2.083472060632784,modeled_qpu,1024.0,0.14784372106421642,4.035088166848001,1.242611904530612,0.1898401007230619
channel,6,6,2,qaoa,nominal,0.8243350865285217,0.8243350865285217,True,0.0024091670056805015,104,0.3085099240473346,0.0625277616054293,8.424800000000001,0.0,0.5267838859734209,True,-2.526783885973421,modeled_qpu,1024.0,0.14784372106421642,4.035088166848001,1.242611904530612,0.1898401007230619
